Date;Field;Treatment;Repeat;Abundance;Observations
2025-06-11;1;FE;1;0;
2025-06-11;1;FE;2;0;
2025-06-11;1;FE;3;0;
2025-06-11;1;FE;4;0;
2025-06-11;1;FE;5;0;
2025-06-11;1;BE;1;0;
2025-06-11;1;BE;2;0;
2025-06-11;1;BE;3;0;
2025-06-11;1;BE;4;0;
2025-06-11;1;BE;5;0;
2025-06-11;1;FC;1;0;
2025-06-11;1;FC;2;0;
2025-06-11;1;FC;3;0;
2025-06-11;1;FC;4;0;
2025-06-11;1;FC;5;2;
2025-06-11;1;FO;1;0;
2025-06-11;1;FO;2;0;
2025-06-11;1;FO;3;0;
2025-06-11;1;FO;4;0;
2025-06-11;1;FO;5;2;
2025-06-11;2;FE;1;1;
2025-06-11;2;FE;2;0;
2025-06-11;2;FE;3;0;
2025-06-11;2;FE;4;0;
2025-06-11;2;FE;5;0;
2025-06-11;2;FC;1;2;
2025-06-11;2;FC;2;3;
2025-06-11;2;FC;3;0;
2025-06-11;2;FC;4;0;
2025-06-11;2;FC;5;5;
2025-06-11;2;BE;1;0;
2025-06-11;2;BE;2;2;
2025-06-11;2;BE;3;0;
2025-06-11;2;BE;4;0;
2025-06-11;2;BE;5;0;
2025-06-11;2;FO;1;1;
2025-06-11;2;FO;2;1;
2025-06-11;2;FO;3;0;
2025-06-11;2;FO;4;0;
2025-06-11;2;FO;5;0;
2025-06-11;3;FC;1;2;
2025-06-11;3;FC;2;0;
2025-06-11;3;FC;3;0;
2025-06-11;3;FC;4;1;
2025-06-11;3;FC;5;0;
2025-06-11;3;BE;1;1;
2025-06-11;3;BE;2;0;
2025-06-11;3;BE;3;1;
2025-06-11;3;BE;4;1;
2025-06-11;3;BE;5;2;
2025-06-11;3;FE;1;0;
2025-06-11;3;FE;2;0;
2025-06-11;3;FE;3;0;
2025-06-11;3;FE;4;0;
2025-06-11;3;FE;5;0;
2025-06-11;3;FO;1;0;
2025-06-11;3;FO;2;5;
2025-06-11;3;FO;3;1;
2025-06-11;3;FO;4;0;
2025-06-11;3;FO;5;0;
2025-06-12;4;FO;1;0;
2025-06-12;4;FO;2;0;
2025-06-12;4;FO;3;0;
2025-06-12;4;FO;4;1;
2025-06-12;4;FO;5;0;
2025-06-12;4;FC;1;4;
